Race,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,White Alone
,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,White Alone
Champaign,17.7,0.1,12.4,0,1.6,2.9,65.7
Urbana,16.8,0.2,19.6,0.2,0.5,3.3,59.3
Savoy,5.3,0,17.7,0,1.6,4.1,71.3
Tolono,3,0,1,0,0,1,94.9
Bondville,1.3,0.4,0,0,0,1.3,97
Mahomet,0,0,0.4,0.3,0,2.3,97
,Black or African American,Asian,Hispanic or Latino,,,,
Champaign,2.20%,0.10%,0.50%,,,,
Urbana,0.20%,-2.60%,0.10%,,,,
Savoy,-2.40%,3.60%,-2.20%,,,,
Tolono,3.00%,0.50%,-1.40%,,,,
Bondville,0.30%,0.00%,4.70%,,,,
Mahomet,-0.30%,-0.90%,3.10%,,,,
,"Percentage of Minority Groups, 2013","Percentage of Minority Groups, 2017",,,,,
Champaign,31.10%,34.30%,,,,,
Urbana,36.10%,40.70%,,,,,
Savoy,28.80%,28.70%,,,,,
Tolono,1.70%,5.10%,,,,,
Bondville,1.30%,3.00%,,,,,
Mahomet,4.40%,3.00%,,,,,
