Year,Bloomington,Peoria,Willard,Springfield
2000,"234,738","170,264","120,106","35,158"
2001,"206,859","177,387","111,736","52,835"
2002,"199,672","192,308","112,246","102,917"
2003,"206,390","177,129","95,087","122,412"
2004,"219,286","221,466","115,911","111,108"
2005,"227,489","253,743","129,948","81,165"
2006,"255,442","238,870","114,769","64,458"
2007,"262,191","269,726","108,667","60,556"
2008,"261,609","276,209","95,179","55,609"
2009,"242,834","240,745","85,792","52,921"
2010,"273,589","247,900","83,391","51,879"
2011,"284,116","247,536","81,100","54,190"
2012,"238,697","285,116","83,796","59,030"
2013,"210,730","289,098","82,996","69,051"
2014,"203,217","315,160","92,724","83,447"
2015,"185,452","315,312","87,584","89,060"
2016,"187,875","304,554","87,093","92,554"
2017,"162,516","309,617","97,502","89,728"
