,Demand-Response,Fixed-Route,Total
January,,,1584,
February,,,1653,
March,,,1884,
April,,,1767,
May,,,1746,
June,,,2000,
July,,,1756,
August,,,2042,
September,,,1844,
October,,,1712,
November,1235,382,1617,
December,1062,454,1516,
January,1082,566,1648,
February,1075,541,1616,
March,1227,626,1853,
April,1101,582,1683,
May,1113,805,1918,
June,1120,716,1836,
July,940,633,1573,
August,1211,758,1969,
September,1171,841,2012,
October,1251,893,2144,
November,1155,959,2114,
December,1028,973,2001,
January,1176,1058,2234,
February,1209,1103,2312,
March,1349,1201,2550,
April,1278,1359,2637,
May,1228,1121,2349,
June,1130,1109,2239,
July,1101,1237,2338,
August,1321,1389,2710,
September,1040,1174,2214,
October,1389,1445,2834,
November,1151,1165,2316,
December,1028,1183,2211,
