Lead Agency,Project Location,Project Description,TIP Project ID
Champaign County,All County Highways,System-Wide Guardrail Upgrade on All Champaign County Highways,CC-18-01
Champaign,Armory Avenue from Fourth Street to Wright Street and Wright Street from Springfield Avenue to Armory Avenue,MCORE Project 4: The roadway will be redesigned to safely accommodate all users including the implementation of bicycle facilities and enhancements to bus stops throughout the corridor,"CH-18-08, MTD-18-01, UI-18-01"
Champaign,Prospect Avenue from Curtis Road to Windsor Road,Complete street engineering and reconstruction,"CH-19-05, SA-19-01"
Champaign,St. Mary's Road from Neil Street to Fourth Street,University project to improve pedestrian and bicycle access,CH-21-05
Champaign,Mattis Avenue from Windsor Road to Curtis Road,"Complete street reconstruction including 3 lanes of pavement, curb/gutter, storm sewers, bike lanes, sidewalks and streetlights",CH-23-05
Mahomet,Sunny Acres Road from Oak Street to S Mahomet Road,Pavement reconstruction and shoulder widening,MA-18-02
Mahomet,Sangamon River Greenway,"Six-foot wide concrete trail from parking lot through forest to launch site at river - launch site will include overlook, bench, accessible turnaround, and concrete ramp for kayak and canoe launch",MA-18-03
Mahomet,North Division Street from Maple Street to north of State Street,Milling and HMA resurfacing,MA-22-01
MTD,"Illinois Terminal, 45 E University Avenue",Illinois Terminal expansion - joint development project,MTD-19-02
MTD,MTD Maintenance Facility,Implementation of hydrogen fuel cell facilities and infrastructure to support two zero-emission hydrogen fuel cell buses,MTD-19-04
Savoy,Hartwell Drive from Airport Road to Hartwell Cul-de-sac,Hartwell Drive reconstruction,SA-20-06
Savoy,Curtis Road from Wesley Avenue to Dunlap Avenue,"Curtis Road Complete Streets Project: improvements include 4-Lane cross section with bi-directional turning lane, off-street shared-use paths north and south of roadway, widen intersection and update traffic signals",SA-20-05
State of Illinois,"US 150/US 45, University Avenue from Wright Street to Cunningham Avenue in Urbana","Pavement marking, sidewalks, lighting, ADA improvements, traffic signal modernization - including land acquisition, railroad flagger, and utility adjustment",J005
State of Illinois,I-57/I-74 Interchange,"Interchange reconstruction including bridge work, land acquisition, utility adjustment, and engineering",A167
State of Illinois,"At ICRR, TR 158, and Market Street in Champaign",Bridge work,H353/H352
State of Illinois,I-74 from Prospect Avenue in Champaign to University Avenue in Urbana,"Microsurfacing 2 Pass from Prospect Avenue to Cunningham Avenue, Resurfacing (SMART) from Cunningham Avenue to University Avenue",K005B
State of Illinois,Leverett Road from Market Street to US 45,Designed Overlay,F206
Urbana Park District,Park Street from Broadway Avenue to Church Street/McCullough Street,Engineering and construction of 10-foot-wide shared-use sidepath on Park Street,UPD-17-01
Urbana,Green Street from Busey Avenue to Race Street,"MCORE Project 5: ADA accessible ramps, sidewalk improvements, bus stop improvements, bicycle facilities, roadway surfaces, curb and gutter repair and replacement","CH-18-09, UR-18-05, MTD-18-02, UI-18-02"
Urbana,Lincoln Avenue and Springfield Avenue Resurfacing south of University Avenue and north of Green Street,"ADA accessible ramps, sidewalk repair and replacement, refuge islands, roadway surfaces, curb and gutter repair and replacement",UR-20-06
Urbana,Florida Avenue from west of Lincoln Avenue to east of Vine Street,Complete street reconstruction/rehabilitation,UR-23-06
