AVERAGES,Overall Transportation Network Access Score,Pedestrian Access Score,Transit Access Score,Bicycle Access Score,Vehicle Access Score
All block groups,50-59,20-29,30-39,50-59,90-100
Seniors (65 and Over),40-49,10-19,20-29,50-59,80-89
Female,50-59,20-29,30-39,50-59,90-100
Male,50-59,30-39,30-39,60-69,90-100
Households with Disabilities,40-49,20-29,20-29,50-59,90-100
Households Below Poverty Level,60-69,40-49,40-49,60-69,90-100
Limited English Proficiency,50-59,30-39,30-39,60-69,90-100
Hispanic/Latine,50-59,20-29,30-39,50-59,90-100
White,50-59,20-29,30-39,50-59,90-100
Black or African American,50-59,20-29,30-39,50-59,90-100
American Indian and Alaska Native,50-59,30-39,40-49,60-69,90-100
Asian,50-59,30-39,30-39,60-69,90-100
Native Hawaiian and Pacific Islander,60-69,30-39,40-49,60-69,90-100
Some Other Race,50-59,20-29,30-39,60-69,90-100
Two or More Races,50-59,30-39,30-39,60-69,90-100
Combined Disadvantaged Areas, 60-69,30-39,40-49,60-69,90-100
CEJST Areas Alone, 40-49, 20-29,30-39,50-59,90-100
